書く | かく | 카쿠 (쓰다)[글 서]
先生 | せんせい | 센세이 (선생님)[먼저 선/날 생]
君 | きみ | 키미 (너/자네)[임금 군]
午前 | ごぜん | 고젠 (오전)[낮 오/앞 전]
風邪 | かぜ | 카제 (감기)[바람 풍/간사할 사]
毎日 | まいにち | 마이니치 (매일)[매양 매/날 일]
良い | よい / いい | 요이/이이 (좋다)[어질 량]
帰る | かえる | 카에루 (돌아가다)[돌아갈 귀]
見たい | みたい | 미타이 (보고 싶다)[볼 견]
飲む | のむ | 노무 (마시다)[마실 음]
雲 | くも | 쿠모 (구름)[구름 운]
頃 | ころ / ごろ | 코로/고로 (무렵/쯤)[경각 경]
絶対 | ぜったい | 젯타이 (절대/반드시)[끊을 절/대할 대]
痛い | いたい | 이타이 (아프다)[아플 통]
気を付ける | きをつける | 키오 츠케루 (조심하다/주의하다)[기운 기/붙을 부]
病気 | びょうき | 뵤우키 (병/질병)[병 병/기운 기]
紹介 | しょうかい | 쇼우카이 (소개)[이을 소/낄 개]
元気 | げんき | 겐키 (건강함/기운)[으뜸 원/기운 기]
邪魔 | じゃま | 쟈마 (방해)[간사할 사/마귀 마]
前売り | まえうり | 마에우리 (예매/사전 판매)[앞 전/팔 매]
話す | はなす | 하나스 (말하다)[말씀 화]
お子さん | おこさん | 오코상 (자녀분/아이)[아들 자]
行く | いく | 이쿠 (가다)[다닐 행]
奥さん | おくさん | 오쿠상 (부인/아내분)[속 오]
色 | いろ | 이로 (색)[빛 색]
雪 | ゆき | 유키 (눈)[눈 설]
全体 | ぜんたい | 젠타이 (전체)[온전 전/몸 체]
閉める | しめる | 시메루 (닫다)[닫을 폐]
所 | ところ | 토코로 (곳/장소)[바 소]
亡くなる | なくなる | 나쿠나루 (돌아가시다/사망하다)[망할 망]
曜日 | ようび | 요우비 (요일)[빛날 요/날 일]
動画 | どうが | 도우가 (동영상)[움직일 동/그림 화]
悪魔 | あくま | 아쿠마 (악마)[악할 악/마귀 마]
餃子 | ぎょうざ | 교우자 (교자/만두)[교자 교/아들 자]
午後 | ごご | 고고 (오후)[낮 오/뒤 후]
売る | うる | 우루 (팔다)[팔 매]
